question_id,question_pair_id,language,evidence_count,review_status,review_basis
Q-001,Q-001,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-002,Q-002,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-003,Q-003,en,5,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-004,Q-004,en,3,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-005,Q-005,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-006,Q-006,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-007,Q-007,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-008,Q-008,en,3,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-009,Q-009,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-010,Q-010,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-011,Q-011,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-012,Q-012,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-013,Q-013,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-014,Q-014,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-015,Q-015,en,4,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-016,Q-016,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-017,Q-017,en,1,codex_selected_provenance_checked,The selected anchor block fully answers this single intent; all other packet blocks were reviewed as context and not unioned.
Q-018,Q-018,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-019,Q-019,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-020,Q-020,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-021,Q-021,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-022,Q-022,en,3,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-023,Q-023,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-024,Q-024,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-025,Q-025,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-026,Q-026,en,1,codex_selected_provenance_checked,The selected anchor block fully answers this single intent; all other packet blocks were reviewed as context and not unioned.
Q-027,Q-027,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-028,Q-028,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-029,Q-029,en,1,codex_selected_provenance_checked,The selected anchor block fully answers this single intent; all other packet blocks were reviewed as context and not unioned.
Q-030,Q-030,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-031,Q-031,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-032,Q-032,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-033,Q-033,en,1,codex_selected_provenance_checked,The selected anchor block fully answers this single intent; all other packet blocks were reviewed as context and not unioned.
Q-034,Q-034,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-035,Q-035,en,1,codex_selected_provenance_checked,The selected anchor block fully answers this single intent; all other packet blocks were reviewed as context and not unioned.
Q-036,Q-036,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-037,Q-037,en,3,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
Q-038,Q-038,en,2,codex_selected_provenance_checked,These selected blocks are jointly required for one workflow after reviewing the complete packet; unrelated candidates were excluded.
