document_id,filename,product_model,block_id,block_type,text,char_count,word_count,token_estimate,page_start,page_end,page_bin,heading_depth,parent_heading_ids,section_path,topic_labels,topic_classification,evidence_shape,table_figure_flag,block_sequence,text_block_sequence,char_start,char_end,text_sha256,question_allowed,review_reason,source_frame_id,duplicate_cluster_id,exact_duplicate_cluster_id,template_duplicate_cluster_id
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,c97454ee-958a-5101-893c-a984fec43c04,TEXT_BLOCK,"User Manual
Nighthawk® 2.5Gbps Multi-Gig Speed
Cable Modem
Model CM2000
**NETGEAR, Inc.**
May 2020 350 E. Plumeria Drive
202-12065-01 San Jose, CA 95134, USA
**Support**
Thank you for purchasing this NETGEAR product.
You can visit https://www.netgear.com/support/ to register your product, get help,
access the latest downloads and user manuals, and join our community. We recommend
that you use only official NETGEAR support resources.
Contact your Internet service provider for technical support.
**Trademarks**
©NETGEAR, Inc. NETGEAR and the NETGEAR Logo are trademarks of NETGEAR, Inc.
Any non-NETGEAR trademarks are used for reference purposes only.
**Compliance and Conformity**
For regulatory compliance information, visit https://www.netgear.com/about/regulatory/.
See the regulatory compliance document before connecting the power supply.
Note to CATV system Installer- This reminder is provided to call the CATV systems
installer's attention to Section 820-93 of the National Electrical Code which provide
guidelines for proper grounding and in particular, specify that Coaxial cable shield shall
connected to the grounding system of the building, as close to the point of cable entry
as practical",1207,169,302,1,2,P1,0,,[ROOT],,manual_review_pending,single_block,False,1,0,0,1207,185b071883210d0370db809903b69baf0449078919635d45ab3315372408076e,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:c97454ee-958a-5101-893c-a984fec43c04,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,802c451f-4eff-53fc-954c-78e91ffdc453,TEXT_BLOCK,"This chapter covers the following topics:
• Front Panel and LEDs
• Rear Panel
• Label
• System Requirements
• Install and Activate Your Cable Modem
For more information about the topics covered in this manual, visit the support website
at support.netgear.com.",259,42,65,4,4,P1,1,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff,Hardware Setup,,manual_review_pending,multi_block_procedure,False,3,1,1208,1467,be19dba160606e7984bd5fbf0508d0bf90e7c509896a60328561e53bdb8a9b21,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:802c451f-4eff-53fc-954c-78e91ffdc453,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,833c7618-7c73-5ea3-aaf6-5f74eae69f52,TEXT_BLOCK,"The cable modem provides status LEDs on the front.
Figure 1. Front panel
You can use the LEDs to verify status and connections. The following table lists and
describes each LED on the cable modem.
Table 1. LED descriptions
LED Icon Description
Power • **Solid white**. Power is supplied to the cable modem.
• **Off**. No power is supplied to the cable modem.
• **Solid red**. The cable modem is too warm and might overheat. For
more information about this condition, see Use LEDs to Troubleshoot
on page 21.
Downstream • **Solid amber**. One downstream channel is locked.
• **Solid white**. Two or more downstream channels are locked.
• **Blinking white.** The cable modem is scanning for a downstream
channel.
• **Off**. No downstream channel is locked.
Upstream • **Solid amber**. One upstream channel is locked.
• **Solid white**. Two or more upstream channels are locked.
• **Blinking white.** The cable modem is scanning for an upstream
channel.
• **Off**. No upstream channel is locked.
Online • **Solid white**. The cable modem is online.
• **Blinking white**. The cable modem is synchronizing with the cable
provider’s cable modem termination system (CMTS).
• **Off**. The cable modem is offline.
Multi Gig Port • **Solid white**. A 2.5 Gbps connection is established.
• **Blinking blue**. The port is sending or receiving traffic at 2.5 Gbps.
• **Solid white**. A 1 Gbps connection is established.
• **Blinking white**. The port is sending or receiving traffic at 1 Gbps.
• **Solid amber**. A 100 Mbps connection is established.
• **Blinking amber**. The port is sending or receiving traffic at 100 Mbps.",1613,267,404,5,6,P1,2,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;aca02ed3-3845-516e-940d-1d6d1389ccd4,Hardware Setup > Front Panel and LEDs,,manual_review_pending,table_or_figure_textual,True,5,2,1468,3081,8035be5bbe6b34d000262ce8612567dcc16d42ee57a024a508094462170ab171,True,text-backed table/figure; reviewer must verify,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:833c7618-7c73-5ea3-aaf6-5f74eae69f52,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,724d26e2-ed75-5043-b025-de4c01da0714,TEXT_BLOCK,"The connections and button on the rear panel are shown in the following figure.
Figure 2. Rear panel
Viewed from top to bottom, the back panel contains the following components:
• **Reset button**. Pressing the **Reset** button resets the cable modem. If the **Reset** button
is pressed for at least seven seconds, the Power LED blinks white and the cable
modem returns to its factory settings.
• **Ethernet port**. For installation and activation, connect a computer to the Ethernet
port. After you install your cable modem and activate your Internet service, you can
disconnect your computer and connect a router to the Ethernet port.
• **Coaxial cable port**. Connect the cable port to a cable wall outlet.
• **DC power connector**. Connect the power adapter that came in the product package
to the DC power connector.",821,136,206,6,8,P1,2,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;85225b82-a0c7-5859-8f9d-a96a0e10512c,Hardware Setup > Rear Panel,,manual_review_pending,table_or_figure_textual,True,7,3,3082,3903,789caa6c576f1a2a97ebc15ca27c23fc94df0dcbfa16d93b1562f82773e65561,True,text-backed table/figure; reviewer must verify,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:724d26e2-ed75-5043-b025-de4c01da0714,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,b9899548-cfa5-5bb4-8284-7d82e663abd1,TEXT_BLOCK,"The cable modem label shows the login information, MAC address, and serial number.
Figure 3. Cable modem label",110,18,28,8,8,P2,2,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;4e2eb180-851b-54cf-a8c0-f090eefb302a,Hardware Setup > Label,,manual_review_pending,table_or_figure_textual,True,9,4,3904,4014,51cf2eeb6cc7ea5ea235473e16e012fcbd1e3d215b491bddcaa153b1d075640d,True,text-backed table/figure; reviewer must verify,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:b9899548-cfa5-5bb4-8284-7d82e663abd1,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,2114aed4-1869-5c44-956a-f740b1082208,TEXT_BLOCK,"You need the following to install your cable modem:
• Compatible operating system:
- Windows 10
- Windows 8
- Windows 7
- Windows Vista
- Windows XP
- Windows 2000
- Mac OS
- Other operating systems running a TCP/IP network
• Compatible web browser:
- Microsoft Internet Explorer 5.0 or later
- Firefox 2.0 or later
- Safari 1.4 or later
- Google Chrome 11.0 or later
• Cable broadband Internet service",402,74,101,8,9,P2,2,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;8892e19b-29ce-5433-83fc-d2f9e2da6c80,Hardware Setup > System Requirements,,manual_review_pending,multi_block_procedure,False,11,5,4015,4417,3fbe2cab6bebaa14640241a5f7ab84d9c07e5d643cd07a773e6ec48b57ef127f,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:2114aed4-1869-5c44-956a-f740b1082208,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,TEXT_BLOCK,"The cable modem provides a connection between your cable Internet provider’s network
and your computer, router, or WiFi router.",127,19,32,9,9,P2,2,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;949c23eb-822d-58c7-b7c9-930c32d73b85,Hardware Setup > Install and Activate Your Cable Modem,,manual_review_pending,single_block,False,13,6,4418,4545,4185c1a90e275b1849e711c86988de0ee9a925d8eceaff9117775895c14c0f32,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:bc51c3d9-60e7-5b90-b7fc-8c8f3c0a3a6d,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,3d9321dd-db92-5587-9b08-a34e736a627e,TEXT_BLOCK,"After you install the cable modem and activate your Internet service, you can disconnect
the computer and connect a router to the cable modem.
**To connect your cable modem directly to a computer:**
1. Turn off and disconnect existing modems and routers.
If you are replacing a modem that is currently connected in your home, unplug the
modem and plug the new cable modem into the same outlet.
2. Connect a coaxial cable.
Use a coaxial cable to connect the cable port on the cable modem to a cable wall
outlet. Make sure that the cable is tightly connected.
3. Connect the power adapter to the cable modem and plug the power adapter into
an electrical outlet.
When the startup is complete, the Power LED lights white.
4. Wait for the cable modem to come online.
The cable modem comes online when the Internet LED stops blinking and lights
solid white.
This process might take up to 10 minutes.
5. Connect a computer to the cable modem.
Use the Ethernet cable that is provided in the package to connect a computer to the
Ethernet port on the cable modem.
6. Reboot the computer.
7. Activate your Internet service.
For information about how to activate your Internet service, see Activate Your Internet
Service on page 10.
**Note:** After you install and activate the cable modem, you can disconnect the
computer and connect a router to the cable modem. For more information, see
Connect Your Cable Modem to a Router After Installation and Activation on page
11.",1460,255,365,9,10,P2,3,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;949c23eb-822d-58c7-b7c9-930c32d73b85;e648702a-38f2-5654-be8c-d01f85d80097,Hardware Setup > Install and Activate Your Cable Modem > Connect Your Cable Modem to a Computer,,manual_review_pending,multi_block_procedure,False,15,7,4546,6006,377e459610bd33ec3c479b037d4cc02f8683275696d53312acd3a2f2cfe871cf,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:3d9321dd-db92-5587-9b08-a34e736a627e,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,TEXT_BLOCK,"Before you activate your Internet service, gather the following information:
• Your cable Internet provider account information
• Cable modem model number, which is CM2000
• Cable modem serial number, which is on the cable modem label
• Cable modem MAC address, which is on the cable modem label
Figure 4. Example of a cable modem label
The following is contact information for cable Internet providers that support your cable
modem.
Table 2. Cable Internet provider contact information
Cable Contact Information
Internet
Provider
Cox https://cox.com/activate
1-888-556-1193
Mediacom https://support.mediacomcable.com/
1-855-Mediacom (1-855-633-4226)
Optimum https://install.optimum.com/JointInstall/
1-877-810-6750
Sparklight https://support.sparklight.com/
1-877-692-2253
Table 2. Cable Internet provider contact information (Continued)
Cable Contact Information
Internet
Provider
Spectrum https://activate.spectrum.net/
1-833-267-6094
Xfinity https://xfinity.com/activate/
https://www.xfinity.com/support/internet/activate-purchased-modem/
1-800-XFINITY (1-800-934-6489)
**Note:** Your cable Internet provider’s contact information might change. You can find
the contact information in your monthly Internet service billing statement.
**To activate your Internet service:**
1. Visit your cable Internet provider’s website and follow the onscreen instructions to
activate your Internet service.
2. If you are unable to activate your Internet service using the instructions on your cable
Internet provider’s website, call your cable Internet provider for support.
3. To determine the accurate Internet speed, visit your cable Internet provider's speed
test website and perform a speed test. .
If your actual speed is lower than your subscribed speed, contact your cable Internet
provider.",1789,223,448,10,11,P2,3,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;949c23eb-822d-58c7-b7c9-930c32d73b85;6e492186-7b00-50a2-97bf-5a0ec184f854,Hardware Setup > Install and Activate Your Cable Modem > Activate Your Internet Service,,manual_review_pending,table_or_figure_textual,True,17,8,6007,7796,611b778638029a684f015ad4f9eb1f5a94acf4ffc07bbeb5c1c8835e3f9779c1,True,text-backed table/figure; reviewer must verify,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:4270da4c-a5fb-5ae4-a513-fd42dc41cfbb,,,
7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa,netgear-cm2000.pdf,CM2000,8ed480ba-e35c-5a7d-85ba-ad748ae7732c,TEXT_BLOCK,"To determine the accurate Internet speed, visit the speed test website of your cable
Internet provider and perform a speed test.
If your actual speed is lower than your subscribed speed, contact your cable Internet
provider.",224,36,56,11,11,P2,3,c17cb32b-dea5-59ec-8f25-1ce3d76d68ff;949c23eb-822d-58c7-b7c9-930c32d73b85;907308c4-30c4-5025-ad88-92440f633c4a,Hardware Setup > Install and Activate Your Cable Modem > Perform a Speed Test,,manual_review_pending,single_block,False,19,9,7797,8021,28811ef8c8dd9b55cdc7e37dc6bbf3a3e39995358e7c1093ac392216599f39e6,True,text-backed candidate; reviewer required,7b2e79c5-ed95-43f3-bb4b-e882e3bfeefa:8ed480ba-e35c-5a7d-85ba-ad748ae7732c,,,
