cluster_type,cluster_id,member_count,document_count,documents,sample_text,member_block_ids
exact,EXACT-001,7,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**CAUTION:** This process erases all settings that you configured in the router. **To erase the settings:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user ,30cb5af4-ad9a-5de4-b044-140768a610eb;06daaeef-ec94-5d0f-8314-953d3a240463;7a9eebd9-f5d2-5c21-9c8c-a42022709c2d;03a4fccb-bb0c-56ec-b67b-eee79c190813;949f4076-a01d-5589-9000-e07d2468d8e1;f9673d04-056e-532b-8ac6-56d5d560625e;38a0105f-ff6d-5aab-bcb3-0f08611feefb
exact,EXACT-002,2,1,netgear-r7000.pdf,**Caution:** This process erases all settings that you configured in the router. **To erase the settings:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router user name a,15f7c9fd-b0eb-54db-a39c-b7fe7362e944;08c13974-10e3-5210-9032-0e3def519062
exact,EXACT-003,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,"**CAUTION:** This process erases all settings that you configured in the router. **To reset the router to factory default settings:** 1. On the back of the router, locate the **Reset** button. 2. Using a straightened paper clip, press and hold the **Reset** button for at least five seconds. 3. Relea",a8ed97f6-b0c8-5d7e-b5cc-af310c2cb700;0a257dcc-14da-5a65-8bbb-86278eb6021d;fa416218-84aa-5950-9d59-e6993480f2cd;db85c08a-eeba-5dfb-96da-0dde84583dbf;8e160d72-d9c0-5e0b-b624-739f05be19bb
exact,EXACT-004,2,2,netgear-r6350.pdf;netgear-raxe500.pdf,"**To access a USB device and download files from your Windows-based computer** **using VPN:** 1. On your Windows-based computer, open the Windows file manager and select **Network**. **Note:** See your computer’s documentation for information about how to display the network resources. The network r",0aa14853-bbdb-5423-a96f-03caf3c8beea;5743bf89-9507-504d-8e68-8555014cc89a
exact,EXACT-005,6,6,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf;netgear-xr500.pdf,"**To access the USB storage device from a Windows-based computer:** 1. Connect a USB storage device to a USB port on your router. 2. If your USB storage device uses a power supply, connect it. You must use the power supply when you connect the USB storage device to the router. When you connect the U",e82db2d4-7ff7-5c72-9e44-bc9094163aa4;da2688dc-eac4-5b81-8674-1b93947baba6;e13591fd-08dc-5203-afd5-4205421897f5;e428b8c4-ad7c-565b-a493-a0988ae76f4c;45794013-1cd5-503b-9879-5d012d28510c;47502ff3-0811-508c-908a-fc266fe16d1a
exact,EXACT-006,5,5,netgear-r6350.pdf;netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To back up the router’s configuration settings:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The passw,4690be21-1100-5101-8a7c-2bc44fc90fc1;0058c9fc-4a38-5116-8c01-bade3d1e17eb;adf1a780-3d6f-51be-a84f-8ac3505f535c;0e8a4859-ac3f-57fd-a7ae-a5affebcdfde;c1de8d02-dd98-5ba2-acde-79471af13ad3
exact,EXACT-007,2,2,netgear-rax120.pdf;netgear-rax50.pdf,**To change the MTU size:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that you ,222d0e94-e16c-57b7-8632-cf3065855e31;b082f178-7456-55df-bbbd-aa9b6c05e53e
exact,EXACT-008,2,2,netgear-r7000.pdf;netgear-raxe500.pdf,**To change the MTU size:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the one that you ,e4b05b24-584a-5366-a28d-496a3b7a726a;18a45189-9618-54b7-a131-4f7218fbc1df
exact,EXACT-009,4,4,netgear-r6350.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To check the Internet connection status:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is ,ed852bc0-c5d4-5ae7-9219-ff2896fb89e0;a55df085-5b50-50fb-8e14-a3e46343ff87;7b762a47-da73-52c1-8f9a-0d1ef0369d6f;aab62be0-41af-5b2b-9f6f-f4aba6fcea94
exact,EXACT-010,4,4,netgear-r7000.pdf;netgear-rax120.pdf;netgear-rax50.pdf;netgear-raxe500.pdf,**To delete a port forwarding entry:** 1. Launch a web browser from a computer or mobile device that is connected to the router network. 2. Enter **http://www.routerlogin.net**. A login window opens. 3. Enter the router admin user name and password. The user name is **admin**. The password is the on,e59bc00f-c6f5-5e98-892a-b730d7dbd07f;c0fa25f5-57eb-5278-95d6-0f2bcace224f;af31b6ec-73a8-5529-8fa5-da1f467d1bef;109e1a15-59ab-5f7f-acb3-f43189a2b5be
